Anom_ID,Accident_Date,Accident_Time,Location,Geo_ID,Accident_Location,Classification_of_Accident,Initial_Impact_Type,Environment_Condition,Light,Road_Surface_Condition,Traffic_Control,Traffic_Control_Condition,No__of_Vehicles,No__of_Bicycles,No__of_Motorcycles,No__of_Pedestrians,Max_Injury,No__of_Injuries,No__of_Minimal,No__of_Minor,No__of_Major,No__of_Fatal,X,Y,Latitude,Longitude,ObjectId
18--10169,9/29/2018,1:49 PM,MARKETPLACE AVE @ RIOCAN AVE (0010995),10995,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,364286.9566,5014761.757,45.27029679,-75.74188927,1
18--1017,1/18/2018,8:06 PM,ALBION RD @ MITCH OWENS RD (0004212),4212,03 - At intersection,02 - Non-fatal injury,05 - Turning movement,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,01 - Minimal,1,1,,,,375907.2051,5014804.675,45.26960405,-75.59381001,2
18--10170,9/29/2018,10:27 AM,INNES RD btwn BLACKBURN BYPASS & CLEROUX CRES (__3ZA3KN),__3ZA3KN,04 - At/near private drive,02 - Non-fatal injury,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,01 - Minimal,1,1,,,,379744.5615,5033797.728,45.44009386,-75.54203427,3
18--10171,9/29/2018,10:28 PM,HWY 417 ST.LAURE IC115R51 @ ST. LAURENT BLVD (0002712),2712,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,372530.4915,5031410.647,45.41935217,-75.63456402,4
18--10172,9/29/2018,10:30 AM,ST. JOSEPH BLVD/OLD MONTREAL RD @ TRIM RD (0004118),4118,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,01 - Functioning,2,0,0,0,,0,,,,,384682.8577,5039285.593,45.48892172,-75.47802932,5
18--10173,9/29/2018,10:54 AM,"AVRO CIR btwn AVRO CIR & VEDETTE, VOIE DU (e___2I6J)",e___2I6J,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,1,0,0,0,,0,,,,,372433.486,5034878.7,45.4505654,-75.63532694,6
18--10174,9/29/2018,10:54 PM,HIGHWAY 417 btwn HWY417 IC119A RAMP75 & HWY417 IC118 RAMP57 (__3ZA2R2),__3ZA2R2,01 - Non intersection,02 - Non-fatal injury,03 - Rear end,01 - Clear,07 - Dark,01 - Dry,10 - No control,,2,0,0,0,02 - Minor,2,,2,,,368879.5577,5030657.98,45.41292385,-75.68130729,7
18--10175,9/29/2018,10:55 AM,AVIATION PKWY @ OGILVIE RD (0004114),4114,03 - At intersection,02 - Non-fatal injury,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,02 - Minor,2,1,1,,,373110.7141,5032376.586,45.4279868,-75.62701706,8
18--10176,9/29/2018,10:56 AM,REGIONAL ROAD 174 btwn Continuation of REGIONAL ROAD 174 & OR174 IC112 (__3ZA2YI),__3ZA2YI,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,373986.2665,5032230.978,45.42659064,-75.61584964,9
18--10177,9/29/2018,11:13 PM,PLEASANT PARK RD btwn DELMAR DR & DORVAL AVE (__3ZA88E),__3ZA88E,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,371860.5793,5028606.838,45.39418922,-75.64350431,10
