Anom_ID,Accident_Date,Accident_Time,Location,Geo_ID,Accident_Location,Classification_of_Accident,Initial_Impact_Type,Environment_Condition,Light,Road_Surface_Condition,Traffic_Control,Traffic_Control_Condition,No__of_Vehicles,No__of_Bicycles,No__of_Motorcycles,No__of_Pedestrians,Max_Injury,No__of_Injuries,No__of_Minimal,No__of_Minor,No__of_Major,No__of_Fatal,X,Y,Latitude,Longitude,ObjectId
15--1,2015/01/01,1:15 PM,KING EDWARD AVE @ RIDEAU ST (0002121),2121,03 - At intersection,03 - P.D. only,03 - Rear end,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,368511.7072,5032414.67,45.42876352,-75.68577937,1
15--2,2015/01/01,1:54 PM,BEATRICE DR @ STRANDHERD DR (0005447),5447,03 - At intersection,02 - Non-fatal injury,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,01 - Minimal,1,1,,,,365527.377,5015322.928,45.27524017,-75.72601396,2
15--3,2015/01/01,10:00 PM,HIGHWAY 417 btwn HWY417 IC112 RAMP66 & HWY417 IC112 RAMP56 (__3ZA283),__3ZA283,01 - Non intersection,03 - P.D. only,07 - SMV other,03 - Snow,07 - Dark,02 - Wet,10 - No control,,1,0,0,0,,0,,,,,374428.8447,5030885.815,45.41444365,-75.6103846,3
15--4,2015/01/01,10:37 AM,MEADOWBROOK RD btwn PROGRESS PL & FOXWELL ST (__3ZA8L1),__3ZA8L1,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,374434.2847,5031621.53,45.42106269,-75.61021114,4
15--5,2015/01/01,11:40 PM,HIGHWAY 417 btwn HWY417 IC122 RAMP15 & HWY417 IC121B RAMP51 (__3ZA2RB),__3ZA2RB,01 - Non intersection,02 - Non-fatal injury,07 - SMV other,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,,1,0,0,0,02 - Minor,2,1,1,,,366279.2712,5029413.47,45.40195936,-75.71468103,5
15--6,2015/01/01,11:45 PM,HIGHWAY 417 btwn HWY417 IC122 RAMP51 & HWY417 IC122 RAMP15 (__3ZA2R0),__3ZA2R0,01 - Non intersection,02 - Non-fatal injury,04 - Sideswipe,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,,2,0,0,0,02 - Minor,2,,2,,,365317.1326,5028863.203,45.39709201,-75.7270375,6
15--7,2015/01/01,12:30 AM,LAURIER AVE @ O'CONNOR ST (0002224),2224,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,367635.7368,5031359.059,45.41934473,-75.6971076,7
15--8,2015/01/01,2:25 PM,ISLAND PARK DR NB btwn TO BE DETERMINED & ISLAND PARK CRES (__3ZA21U),__3ZA21U,01 - Non intersection,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,364458.4209,5028145.559,45.39070848,-75.7380913,8
15--9,2015/01/01,2:55 AM,EVEREST PRIV btwn RUSSELL RD & ST. LAURENT BLVD (e___1GYG),e___1GYG,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,372774.028,5029748.431,45.4043727,-75.63168178,9
15--10,2015/01/01,3:11 AM,DAVID DR btwn HOWDEN AVE & SULLIVAN AVE (__3ZAAS2),__3ZAAS2,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,07 - Dark,06 - Ice,10 - No control,,1,0,0,0,,0,,,,,363134.9056,5022989.571,45.344427,-75.75560149,10
15--11,2015/01/01,3:15 PM,QUEEN ELIZABETH DRWY @ QUEEN ELIZABETH PL (0002124),2124,03 - At intersection,02 - Non-fatal injury,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,02 - Minor,2,,2,,,368583.7409,5028844.026,45.39662951,-75.68532096,11
