Anom_ID,Accident_Date,Accident_Time,Location,Geo_ID,Accident_Location,Classification_of_Accident,Initial_Impact_Type,Environment_Condition,Light,Road_Surface_Condition,Traffic_Control,Traffic_Control_Condition,No__of_Vehicles,No__of_Bicycles,No__of_Motorcycles,No__of_Pedestrians,Max_Injury,No__of_Injuries,No__of_Minimal,No__of_Minor,No__of_Major,No__of_Fatal,X,Y,Latitude,Longitude,ObjectId
17--1,1/1/2017,1:28 AM,WEST RIDGE DR btwn PARLOR PL & BERT G. ARGUE DR (__5RG32R),__5RG32R,01 - Non intersection,03 - P.D. only,07 - SMV other,02 - Rain,07 - Dark,03 - Loose snow,10 - No control,,1,0,0,0,,0,,,,,349455.382,5012881.625,45.25447687,-75.93106318,1
17--10169,10/5/2017,2:15 PM,INDUSTRIAL AVE/INNES RD @ ST. LAURENT BLVD (0002203),2203,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,373100.2739,5030004.474,45.4066447,-75.62747925,2
17--108,1/4/2017,10:00 PM,ALBERT ST @ PRESTON ST (0002217),2217,02 - Intersection related,03 - P.D. only,03 - Rear end,03 - Snow,07 - Dark,03 - Loose snow,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,366162.4137,5030466.288,45.41144259,-75.71604256,3
17--2,1/1/2017,11:41 AM,BANK ST @ KILBORN AVE/BELANGER AVE (0007208),7208,02 - Intersection related,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,00 - Unknown,2,0,0,0,,0,,,,,369654.3801,5027426.295,45.38377489,-75.67183395,4
17--1017,1/25/2017,8:10 AM,BRITTANY DR btwn KRISTIN WAY & MONTREAL RD (__3ZA8IX),__3ZA8IX,01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,371891.9468,5034041.576,45.44308557,-75.64236372,5
17--1080,1/27/2017,4:46 PM,CEDARVIEW RD @ FALLOWFIELD RD (0001603),1603,03 - At intersection,02 - Non-fatal injury,05 - Turning movement,03 - Snow,05 - Dusk,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,02 - Minor,1,,1,,,361293.9167,5015663.316,45.2786559,-75.77992732,6
17--10439,10/13/2017,2:05 PM,BRONSON AVE @ NEPEAN ST (0002163),2163,03 - At intersection,02 - Non-fatal injury,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,02 - Minor,1,,1,,,366859.9322,5030728.798,45.41374307,-75.70709897,7
17--3,1/1/2017,Unknown,EASTVALE DR btwn OGILVIE RD & LOYOLA AVE (__3ZA705),__3ZA705,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,03 - Snow,00 - Unknown,04 - Slush,10 - No control,,1,0,0,0,,0,,,,,375627.4055,5035090.283,45.45215271,-75.59446823,8
17--10170,10/5/2017,2:16 PM,ST. LAURENT BLVD @ TREMBLAY RD (0002573),2573,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,372595.7139,5031241.03,45.41781972,-75.63375406,9
17--4,1/1/2017,Unknown,MARRISSA AVE btwn STEEL ST & INDIGO ST (2) (__6N4XWI),__6N4XWI,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,374814.2856,5034006.557,45.44248391,-75.60501694,10
